Anno Accademico;Immatricolati Maschi;Immatricolati Femmine;Immatricolati Totali;fonte dati;note
1998/1999;123.996;154.943;278.939;Rilevazione Istruzione Universitaria;
1999/2000;125.535;152.844;278.379;Rilevazione Istruzione Universitaria;
2000/2001;127.195;156.947;284.142;Rilevazione Istruzione Universitaria;
2001/2002;143.277;175.987;319.264;Rilevazione Istruzione Universitaria;
2002/2003;149.823;180.979;330.802;Rilevazione Istruzione Universitaria;
2003/2004;152.758;185.278;338.036;Rilevazione Istruzione Universitaria;
2004/2005;148.616;183.277;331.893;Rilevazione Istruzione Universitaria;
2005/2006;143.996;179.934;323.930;Rilevazione Istruzione Universitaria;
2006/2007;136.382;171.803;308.185;Rilevazione Istruzione Universitaria;
2007/2008;134.215;173.371;307.586;Rilevazione Istruzione Universitaria;
2008/2009;127.896;167.036;294.932;Rilevazione Istruzione Universitaria;
2009/2010;128.489;164.660;293.149;Rilevazione Istruzione Universitaria;
2010/2011;126.990;161.310;288.300;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2011/2012;122.483;157.139;279.622;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2012/2013;118.780;150.746;269.526;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2013/2014;119.499;149.366;268.865;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2014/2015;120.482;148.873;269.355;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2015/2016;123.783;150.854;274.637;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2016/2017;130.481;158.174;288.655;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2017/2018;131.381;160.273;291.654;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2018/2019;133.183;164.085;297.268;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2019/2020;139.256;172.119;311.375;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2020/2021;146.701;183.570;330.271;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2021/2022;142.055;178.816;320.871;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;dato provvisorio
