AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2020/2021;Aosta;701;F;718
2020/2021;Aosta;701;M;320
2020/2021;Bari;7201;F;26336
2020/2021;Bari;7201;M;15774
2020/2021;Bari Politecnico;7202;F;2994
2020/2021;Bari Politecnico;7202;M;6941
2020/2021;Basilicata;7601;F;3541
2020/2021;Basilicata;7601;M;2546
2020/2021;Benevento Giustino Fortunato - telematica;6202;F;945
2020/2021;Benevento Giustino Fortunato - telematica;6202;M;860
2020/2021;Bergamo;1601;F;13105
2020/2021;Bergamo;1601;M;7761
2020/2021;Bologna;3701;F;45838
2020/2021;Bologna;3701;M;35920
2020/2021;Bolzano;2101;F;2816
2020/2021;Bolzano;2101;M;1242
2020/2021;Bra Scienze Gastronomiche;401;F;196
2020/2021;Bra Scienze Gastronomiche;401;M;195
2020/2021;Brescia;1701;F;6822
2020/2021;Brescia;1701;M;7913
2020/2021;Cagliari;9201;F;14631
2020/2021;Cagliari;9201;M;10104
2020/2021;Calabria;7801;F;14046
2020/2021;Calabria;7801;M;10110
2020/2021;Camerino;4302;F;3072
2020/2021;Camerino;4302;M;3420
2020/2021;Casamassima - G.Degennaro;7203;F;639
2020/2021;Casamassima - G.Degennaro;7203;M;931
2020/2021;Cassino;6001;F;3773
2020/2021;Cassino;6001;M;3265
2020/2021;Castellanza LIUC;1201;F;966
2020/2021;Castellanza LIUC;1201;M;1798
2020/2021;Catania;8701;F;21950
2020/2021;Catania;8701;M;16046
2020/2021;Catanzaro;7901;F;6654
2020/2021;Catanzaro;7901;M;4143
2020/2021;Chieti e Pescara;6901;F;14657
2020/2021;Chieti e Pescara;6901;M;7953
2020/2021;Enna KORE;8601;F;3282
2020/2021;Enna KORE;8601;M;1545
2020/2021;Ferrara;3801;F;15030
2020/2021;Ferrara;3801;M;10156
2020/2021;Firenze;4801;F;30997
2020/2021;Firenze;4801;M;22538
2020/2021;Firenze IUL - telematica;4804;F;529
2020/2021;Firenze IUL - telematica;4804;M;225
2020/2021;Foggia;7101;F;7170
2020/2021;Foggia;7101;M;4207
