_id,AnnoA,ClasseNUMERO,ClasseNOME,SESSO,Isc
1,2020/2021,1,Biotecnologie,F,67
2,2020/2021,1,Biotecnologie,M,31
3,2020/2021,01/S,Specialistiche in antropologia culturale ed etnologia,F,9
4,2020/2021,01/S,Specialistiche in antropologia culturale ed etnologia,M,1
5,2020/2021,2,Scienze dei servizi giuridici,F,131
6,2020/2021,2,Scienze dei servizi giuridici,M,131
7,2020/2021,02/S,Specialistiche in archeologia,F,10
8,2020/2021,02/S,Specialistiche in archeologia,M,2
9,2020/2021,3,Scienze della mediazione linguistica,F,143
10,2020/2021,3,Scienze della mediazione linguistica,M,29
11,2020/2021,03/S,Specialistiche in architettura del paesaggio,F,3
12,2020/2021,03/S,Specialistiche in architettura del paesaggio,M,1
13,2020/2021,4,Scienze dell'architettura e dell'ingegneria edile,F,161
14,2020/2021,4,Scienze dell'architettura e dell'ingegneria edile,M,169
15,2020/2021,04/S,Specialistiche in architettura e ingegneria edile,F,18
16,2020/2021,04/S,Specialistiche in architettura e ingegneria edile,M,29
17,2020/2021,04/S-cu,Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico,F,576
18,2020/2021,04/S-cu,Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico,M,452
19,2020/2021,5,Lettere,F,409
20,2020/2021,5,Lettere,M,119
21,2020/2021,05/S,Specialistiche in archivistica e biblioteconomia,F,3
22,2020/2021,05/S,Specialistiche in archivistica e biblioteconomia,M,1
23,2020/2021,6,Scienze del servizio sociale,F,150
24,2020/2021,6,Scienze del servizio sociale,M,12
25,2020/2021,06/S,Specialistiche in biologia,F,15
26,2020/2021,06/S,Specialistiche in biologia,M,8
27,2020/2021,7,Urbanistica e scienze della pianificazione territoriale e ambientale,F,13
28,2020/2021,7,Urbanistica e scienze della pianificazione territoriale e ambientale,M,24
29,2020/2021,8,Ingegneria civile e ambientale,F,150
30,2020/2021,8,Ingegneria civile e ambientale,M,330
31,2020/2021,08/S,Specialistiche in biotecnologie industriali,F,3
32,2020/2021,9,Ingegneria dell'informazione,F,107
33,2020/2021,9,Ingegneria dell'informazione,M,662
34,2020/2021,09/S,"Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche",F,2
35,2020/2021,09/S,"Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche",M,1
36,2020/2021,10,Ingegneria industriale,F,148
37,2020/2021,10,Ingegneria industriale,M,709
38,2020/2021,100/S,Specialistiche in tecniche e metodi per la societa dell'informazione,F,1
39,2020/2021,100/S,Specialistiche in tecniche e metodi per la societa dell'informazione,M,2
40,2020/2021,101/S,Specialistiche in teoria della comunicazione,F,5
41,2020/2021,101/S,Specialistiche in teoria della comunicazione,M,1
42,2020/2021,102/S,Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica,M,1
43,2020/2021,103/S,Specialistiche in teorie e metodi del disegno industriale,F,2
44,2020/2021,103/S,Specialistiche in teorie e metodi del disegno industriale,M,3
45,2020/2021,104/S,Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica,F,10
46,2020/2021,104/S,Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica,M,1
47,2020/2021,11,Lingue e culture moderne,F,390
48,2020/2021,11,Lingue e culture moderne,M,79
49,2020/2021,12,Scienze biologiche,F,374
50,2020/2021,12,Scienze biologiche,M,89
51,2020/2021,13,Scienze dei beni culturali,F,383
52,2020/2021,13,Scienze dei beni culturali,M,101
53,2020/2021,13/S,"Specialistiche in editoria, comunicazione multimediale e giornalismo",F,7
54,2020/2021,13/S,"Specialistiche in editoria, comunicazione multimediale e giornalismo",M,7
55,2020/2021,14,Scienze della comunicazione,F,227
56,2020/2021,14,Scienze della comunicazione,M,104
57,2020/2021,14/S,Specialistiche in farmacia e farmacia industriale,F,1357
58,2020/2021,14/S,Specialistiche in farmacia e farmacia industriale,M,445
59,2020/2021,15,Scienze politiche e delle relazioni internazionali,F,199
60,2020/2021,15,Scienze politiche e delle relazioni internazionali,M,221
61,2020/2021,15/S,Specialistiche in filologia e letterature dell'antichita,F,8
62,2020/2021,15/S,Specialistiche in filologia e letterature dell'antichita,M,3
63,2020/2021,16,Scienze della Terra,F,16
64,2020/2021,16,Scienze della Terra,M,33
65,2020/2021,16/S,Specialistiche in filologia moderna,F,28
66,2020/2021,16/S,Specialistiche in filologia moderna,M,5
67,2020/2021,17,Scienze dell'economia e della gestione aziendale,F,773
68,2020/2021,17,Scienze dell'economia e della gestione aziendale,M,708
69,2020/2021,17/S,Specialistiche in filosofia e storia della scienza,F,1
70,2020/2021,17/S,Specialistiche in filosofia e storia della scienza,M,1
71,2020/2021,18,Scienze dell'educazione e della formazione,F,585
72,2020/2021,18,Scienze dell'educazione e della formazione,M,67
73,2020/2021,18/S,"Specialistiche in filosofia teoretica, morale, politica ed estetica",F,8
74,2020/2021,18/S,"Specialistiche in filosofia teoretica, morale, politica ed estetica",M,8
75,2020/2021,18-bis,Scienze della Formazione Primaria - Quadriennale,F,814
76,2020/2021,18-bis,Scienze della Formazione Primaria - Quadriennale,M,41
77,2020/2021,19,Scienze dell'amministrazione,F,103
78,2020/2021,19,Scienze dell'amministrazione,M,90
79,2020/2021,19/S,Specialistiche in finanza,F,2
80,2020/2021,19/S,Specialistiche in finanza,M,3
81,2020/2021,20,"Scienze e tecnologie agrarie, agroalimentari e forestali",F,104
82,2020/2021,20,"Scienze e tecnologie agrarie, agroalimentari e forestali",M,144
83,2020/2021,20/S,Specialistiche in fisica,F,6
84,2020/2021,20/S,Specialistiche in fisica,M,9
85,2020/2021,21,Scienze e tecnologie chimiche,F,56
86,2020/2021,21,Scienze e tecnologie chimiche,M,64
87,2020/2021,21/S,Specialistiche in geografia,F,2
88,2020/2021,21/S,Specialistiche in geografia,M,2
89,2020/2021,22,Scienze e tecnologie della navigazione marittima e aerea,F,1
90,2020/2021,22,Scienze e tecnologie della navigazione marittima e aerea,M,3
91,2020/2021,22/S,Specialistiche in giurisprudenza,F,63
92,2020/2021,22/S,Specialistiche in giurisprudenza,M,37
93,2020/2021,23,"Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",F,85
94,2020/2021,23,"Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",M,42
95,2020/2021,23/S,Specialistiche in informatica,F,8
96,2020/2021,23/S,Specialistiche in informatica,M,34
97,2020/2021,24,Scienze e tecnologie farmaceutiche,F,155
98,2020/2021,24,Scienze e tecnologie farmaceutiche,M,36
99,2020/2021,24/S,Specialistiche in informatica per le discipline umanistiche,M,1
100,2020/2021,25,Scienze e tecnologie fisiche,F,35
101,2020/2021,25,Scienze e tecnologie fisiche,M,77
102,2020/2021,25/S,Specialistiche in ingegneria aerospaziale e astronautica,F,1
103,2020/2021,25/S,Specialistiche in ingegneria aerospaziale e astronautica,M,8
104,2020/2021,26,Scienze e tecnologie informatiche,F,52
105,2020/2021,26,Scienze e tecnologie informatiche,M,310
106,2020/2021,26/S,Specialistiche in ingegneria biomedica,F,3
107,2020/2021,26/S,Specialistiche in ingegneria biomedica,M,3
108,2020/2021,27,Scienze e tecnologie per l'ambiente e la natura,F,56
109,2020/2021,27,Scienze e tecnologie per l'ambiente e la natura,M,50
110,2020/2021,27/S,Specialistiche in ingegneria chimica,F,3
111,2020/2021,27/S,Specialistiche in ingegneria chimica,M,2
112,2020/2021,28,Scienze economiche,F,247
113,2020/2021,28,Scienze economiche,M,188
114,2020/2021,28/S,Specialistiche in ingegneria civile,F,7
115,2020/2021,28/S,Specialistiche in ingegneria civile,M,26
116,2020/2021,29,Filosofia,F,104
117,2020/2021,29,Filosofia,M,89
118,2020/2021,29/S,Specialistiche in ingegneria dell'automazione,F,2
119,2020/2021,29/S,Specialistiche in ingegneria dell'automazione,M,6
120,2020/2021,30,Scienze geografiche,F,13
121,2020/2021,30,Scienze geografiche,M,11
122,2020/2021,30/S,Specialistiche in ingegneria delle telecomunicazioni,F,1
123,2020/2021,30/S,Specialistiche in ingegneria delle telecomunicazioni,M,12
124,2020/2021,31,Scienze giuridiche,F,311
125,2020/2021,31,Scienze giuridiche,M,159
126,2020/2021,31/S,Specialistiche in ingegneria elettrica,F,1
127,2020/2021,31/S,Specialistiche in ingegneria elettrica,M,7
128,2020/2021,31-bis,Scienze giuridiche - Quinquennale,F,44
129,2020/2021,31-bis,Scienze giuridiche - Quinquennale,M,20
130,2020/2021,32,Scienze matematiche,F,80
131,2020/2021,32,Scienze matematiche,M,39
132,2020/2021,32/S,Specialistiche in ingegneria elettronica,F,6
133,2020/2021,32/S,Specialistiche in ingegneria elettronica,M,18
134,2020/2021,33,Scienze delle attivita motorie e sportive,F,65
135,2020/2021,33,Scienze delle attivita motorie e sportive,M,141
136,2020/2021,33/S,Specialistiche in ingegneria energetica e nucleare,F,1
137,2020/2021,33/S,Specialistiche in ingegneria energetica e nucleare,M,3
138,2020/2021,34,Scienze e tecniche psicologiche,F,422
139,2020/2021,34,Scienze e tecniche psicologiche,M,120
140,2020/2021,34/S,Specialistiche in ingegneria gestionale,F,12
141,2020/2021,34/S,Specialistiche in ingegneria gestionale,M,19
142,2020/2021,35,"Scienze sociali per la cooperazione, lo sviluppo e la pace",F,27
143,2020/2021,35,"Scienze sociali per la cooperazione, lo sviluppo e la pace",M,14
144,2020/2021,35/S,Specialistiche in ingegneria informatica,F,3
145,2020/2021,35/S,Specialistiche in ingegneria informatica,M,47
146,2020/2021,36,Scienze sociologiche,F,76
147,2020/2021,36,Scienze sociologiche,M,35
148,2020/2021,36/S,Specialistiche in ingegneria meccanica,F,2
149,2020/2021,36/S,Specialistiche in ingegneria meccanica,M,31
150,2020/2021,37,Scienze statistiche,F,13
151,2020/2021,37,Scienze statistiche,M,12
152,2020/2021,37/S,Specialistiche in ingegneria navale,M,2
153,2020/2021,38,Scienze storiche,F,57
154,2020/2021,38,Scienze storiche,M,87
155,2020/2021,38/S,Specialistiche in ingegneria per l'ambiente e il territorio,F,10
156,2020/2021,38/S,Specialistiche in ingegneria per l'ambiente e il territorio,M,13
157,2020/2021,39,Scienze del turismo,F,80
158,2020/2021,39,Scienze del turismo,M,14
159,2020/2021,39/S,Specialistiche in interpretariato di conferenza,F,3
160,2020/2021,40,Scienze e tecnologie zootecniche e delle produzioni animali,F,42
161,2020/2021,40,Scienze e tecnologie zootecniche e delle produzioni animali,M,10
162,2020/2021,40/S,Specialistiche in lingua e cultura italiana,F,5
163,2020/2021,40/S,Specialistiche in lingua e cultura italiana,M,2
164,2020/2021,41,Tecnologie per la conservazione e il restauro dei beni culturali,F,7
165,2020/2021,41,Tecnologie per la conservazione e il restauro dei beni culturali,M,3
166,2020/2021,41/S,Specialistiche in lingue e letterature afroasiatiche,M,1
167,2020/2021,42,Disegno industriale,F,18
168,2020/2021,42,Disegno industriale,M,28
169,2020/2021,42/S,Specialistiche in lingue e letterature moderne euroamericane,F,22
170,2020/2021,42/S,Specialistiche in lingue e letterature moderne euroamericane,M,2
171,2020/2021,43/S,Specialistiche in lingue straniere per la comunicazione internazionale,F,18
172,2020/2021,43/S,Specialistiche in lingue straniere per la comunicazione internazionale,M,2
173,2020/2021,44/S,Specialistiche in linguistica,F,2
174,2020/2021,44/S,Specialistiche in linguistica,M,2
175,2020/2021,45/S,Specialistiche in matematica,F,9
176,2020/2021,45/S,Specialistiche in matematica,M,4
177,2020/2021,46/S,Specialistiche in medicina e chirurgia,F,1510
178,2020/2021,46/S,Specialistiche in medicina e chirurgia,M,959
179,2020/2021,47/S,Specialistiche in medicina veterinaria,F,300
180,2020/2021,47/S,Specialistiche in medicina veterinaria,M,101
181,2020/2021,51/S,Specialistiche in musicologia e beni musicali,M,1
182,2020/2021,52/S,Specialistiche in odontoiatria e protesi dentaria,F,30
183,2020/2021,52/S,Specialistiche in odontoiatria e protesi dentaria,M,60
184,2020/2021,53/S,Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie,F,4
185,2020/2021,54/S,Specialistiche in pianificazione territoriale urbanistica e ambientale,M,1
186,2020/2021,56/S,Specialistiche in programmazione e gestione dei servizi educativi e formativi,F,8
187,2020/2021,57/S,Specialistiche in programmazione e gestione delle politiche e dei servizi sociali,F,39
188,2020/2021,57/S,Specialistiche in programmazione e gestione delle politiche e dei servizi sociali,M,5
189,2020/2021,58/S,Specialistiche in psicologia,F,62
190,2020/2021,58/S,Specialistiche in psicologia,M,10
191,2020/2021,59/S,Specialistiche in pubblicita e comunicazione d'impresa,F,4
192,2020/2021,59/S,Specialistiche in pubblicita e comunicazione d'impresa,M,2
193,2020/2021,60/S,Specialistiche in relazioni internazionali,F,15
194,2020/2021,60/S,Specialistiche in relazioni internazionali,M,13
195,2020/2021,61/S,Specialistiche in scienza e ingegneria dei materiali,M,2
196,2020/2021,62/S,Specialistiche in scienze chimiche,F,2
197,2020/2021,62/S,Specialistiche in scienze chimiche,M,2
198,2020/2021,64/S,Specialistiche in scienze dell'economia,F,11
199,2020/2021,64/S,Specialistiche in scienze dell'economia,M,19
200,2020/2021,65/S,Specialistiche in scienze dell'educazione degli adulti e della formazione continua,F,7
201,2020/2021,66/S,Specialistiche in scienze dell'universo,M,2
202,2020/2021,67/S,Specialistiche in scienze della comunicazione sociale e istituzionale,F,2
203,2020/2021,67/S,Specialistiche in scienze della comunicazione sociale e istituzionale,M,1
204,2020/2021,68/S,Specialistiche in scienze della natura,F,5
205,2020/2021,69/S,Specialistiche in scienze della nutrizione umana,F,2
206,2020/2021,69/S,Specialistiche in scienze della nutrizione umana,M,1
207,2020/2021,70/S,Specialistiche in scienze della politica,F,8
208,2020/2021,70/S,Specialistiche in scienze della politica,M,11
209,2020/2021,71/S,Specialistiche in scienze delle pubbliche amministrazioni,F,9
210,2020/2021,71/S,Specialistiche in scienze delle pubbliche amministrazioni,M,15
211,2020/2021,73/S,Specialistiche in scienze dello spettacolo e della produzione multimediale,F,5
212,2020/2021,73/S,Specialistiche in scienze dello spettacolo e della produzione multimediale,M,4
213,2020/2021,74/S,Specialistiche in scienze e gestione delle risorse rurali e forestali,M,1
214,2020/2021,75/S,Specialistiche in scienze e tecnica dello sport,F,2
215,2020/2021,75/S,Specialistiche in scienze e tecnica dello sport,M,5
216,2020/2021,76/S,Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative,F,2
217,2020/2021,76/S,Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative,M,5
218,2020/2021,77/S,Specialistiche in scienze e tecnologie agrarie,F,1
219,2020/2021,77/S,Specialistiche in scienze e tecnologie agrarie,M,5
220,2020/2021,78/S,Specialistiche in scienze e tecnologie agroalimentari,F,2
221,2020/2021,78/S,Specialistiche in scienze e tecnologie agroalimentari,M,2
222,2020/2021,81/S,Specialistiche in scienze e tecnologie della chimica industriale,M,1
223,2020/2021,82/S,Specialistiche in scienze e tecnologie per l'ambiente e il territorio,M,1
224,2020/2021,83/S,Specialistiche in scienze economiche per l'ambiente e la cultura,F,2
225,2020/2021,83/S,Specialistiche in scienze economiche per l'ambiente e la cultura,M,2
226,2020/2021,84/S,Specialistiche in scienze economico-aziendali,F,56
227,2020/2021,84/S,Specialistiche in scienze economico-aziendali,M,40
228,2020/2021,86/S,Specialistiche in scienze geologiche,F,1
229,2020/2021,86/S,Specialistiche in scienze geologiche,M,2
230,2020/2021,87/S,Specialistiche in scienze pedagogiche,F,14
231,2020/2021,87/S,Specialistiche in scienze pedagogiche,M,3
232,2020/2021,88/S,Specialistiche in scienze per la cooperazione allo sviluppo,F,3
233,2020/2021,88/S,Specialistiche in scienze per la cooperazione allo sviluppo,M,1
234,2020/2021,89/S,Specialistiche in sociologia,F,13
235,2020/2021,89/S,Specialistiche in sociologia,M,3
236,2020/2021,90/S,Specialistiche in statistica demografica e sociale,F,1
237,2020/2021,90/S,Specialistiche in statistica demografica e sociale,M,2
238,2020/2021,91/S,"Specialistiche in statistica economica, finanziaria ed attuariale",F,4
239,2020/2021,92/S,Specialistiche in statistica per la ricerca sperimentale,M,2
240,2020/2021,93/S,Specialistiche in storia antica,M,1
241,2020/2021,94/S,Specialistiche in storia contemporanea,F,6
242,2020/2021,94/S,Specialistiche in storia contemporanea,M,2
243,2020/2021,95/S,Specialistiche in storia dell'arte,F,21
244,2020/2021,95/S,Specialistiche in storia dell'arte,M,1
245,2020/2021,96/S,Specialistiche in storia della filosofia,F,6
246,2020/2021,96/S,Specialistiche in storia della filosofia,M,5
247,2020/2021,97/S,Specialistiche in storia medievale,F,2
248,2020/2021,97/S,Specialistiche in storia medievale,M,3
249,2020/2021,98/S,Specialistiche in storia moderna,F,4
250,2020/2021,99/S,Specialistiche in studi europei,F,6
251,2020/2021,99/S,Specialistiche in studi europei,M,2
252,2020/2021,99999,Classe non definita,F,6238
253,2020/2021,99999,Classe non definita,M,4065
254,2020/2021,DS1,Scienze della difesa e della sicurezza,F,12
255,2020/2021,DS1,Scienze della difesa e della sicurezza,M,25
256,2020/2021,DS1/S,Specialistiche nelle scienze della difesa e della sicurezza,F,3
257,2020/2021,DS1/S,Specialistiche nelle scienze della difesa e della sicurezza,M,11
258,2020/2021,L/DS,Scienze della difesa e della sicurezza,F,331
259,2020/2021,L/DS,Scienze della difesa e della sicurezza,M,925
260,2020/2021,L/GASTR,"Scienze, culture e politiche della gastronomia",F,1058
261,2020/2021,L/GASTR,"Scienze, culture e politiche della gastronomia",M,1127
262,2020/2021,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",F,36615
263,2020/2021,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",M,11712
264,2020/2021,L/SNT2,Professioni sanitarie della riabilitazione,F,9550
265,2020/2021,L/SNT2,Professioni sanitarie della riabilitazione,M,5272
266,2020/2021,L/SNT3,Professioni sanitarie tecniche,F,6339
267,2020/2021,L/SNT3,Professioni sanitarie tecniche,M,3649
268,2020/2021,L/SNT4,Professioni sanitarie della prevenzione,F,1554
269,2020/2021,L/SNT4,Professioni sanitarie della prevenzione,M,1195
270,2020/2021,L-01,Beni culturali,F,15541
271,2020/2021,L-01,Beni culturali,M,5290
272,2020/2021,L-02,Biotecnologie,F,12694
273,2020/2021,L-02,Biotecnologie,M,6074
274,2020/2021,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",F,8889
275,2020/2021,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",M,4501
276,2020/2021,L-04,Disegno industriale,F,7119
277,2020/2021,L-04,Disegno industriale,M,4831
278,2020/2021,L-05,Filosofia,F,6847
279,2020/2021,L-05,Filosofia,M,6945
280,2020/2021,L-06,Geografia,F,365
281,2020/2021,L-06,Geografia,M,392
282,2020/2021,L-07,Ingegneria civile e ambientale,F,5678
283,2020/2021,L-07,Ingegneria civile e ambientale,M,14647
284,2020/2021,L-08,Ingegneria dell'informazione,F,13135
285,2020/2021,L-08,Ingegneria dell'informazione,M,49030
286,2020/2021,L-09,Ingegneria industriale,F,20638
287,2020/2021,L-09,Ingegneria industriale,M,68635
288,2020/2021,L-10,Lettere,F,26363
289,2020/2021,L-10,Lettere,M,10046
290,2020/2021,L-11,Lingue e culture moderne,F,38283
291,2020/2021,L-11,Lingue e culture moderne,M,9272
292,2020/2021,L-12,Mediazione linguistica,F,28651
293,2020/2021,L-12,Mediazione linguistica,M,6241
294,2020/2021,L-13,Scienze biologiche,F,21075
295,2020/2021,L-13,Scienze biologiche,M,8450
296,2020/2021,L-14,Scienze dei servizi giuridici,F,16011
297,2020/2021,L-14,Scienze dei servizi giuridici,M,13977
298,2020/2021,L-15,Scienze del turismo,F,7308
299,2020/2021,L-15,Scienze del turismo,M,2850
300,2020/2021,L-16,Scienze dell'amministrazione e dell'organizzazione,F,4885
301,2020/2021,L-16,Scienze dell'amministrazione e dell'organizzazione,M,3559
302,2020/2021,L-17,Scienze dell'architettura,F,5585
303,2020/2021,L-17,Scienze dell'architettura,M,4297
304,2020/2021,L-18,Scienze dell'economia e della gestione aziendale,F,59518
305,2020/2021,L-18,Scienze dell'economia e della gestione aziendale,M,78444
306,2020/2021,L-19,Scienze dell'educazione e della formazione,F,54949
