_id,AnnoA,SedeR,ResidenzaR,GruppoNOME,Isc
1,2010/2011,ABRUZZO,ABRUZZO,Agrario-Forestale e Veterinario,770
2,2010/2011,ABRUZZO,ABRUZZO,Architettura e Ingegneria civile,3248
3,2010/2011,ABRUZZO,ABRUZZO,Arte e Design,751
4,2010/2011,ABRUZZO,ABRUZZO,Economico,6371
5,2010/2011,ABRUZZO,ABRUZZO,Educazione e Formazione,1827
6,2010/2011,ABRUZZO,ABRUZZO,Giuridico,3737
7,2010/2011,ABRUZZO,ABRUZZO,Informatica e Tecnologie ICT,480
8,2010/2011,ABRUZZO,ABRUZZO,Ingegneria industriale e dell'informazione,2307
9,2010/2011,ABRUZZO,ABRUZZO,Letterario-Umanistico,1891
10,2010/2011,ABRUZZO,ABRUZZO,Linguistico,2176
11,2010/2011,ABRUZZO,ABRUZZO,Medico-Sanitario e Farmaceutico,6531
12,2010/2011,ABRUZZO,ABRUZZO,Politico-Sociale e Comunicazione,1829
13,2010/2011,ABRUZZO,ABRUZZO,Psicologico,3154
14,2010/2011,ABRUZZO,ABRUZZO,Scientifico,2359
15,2010/2011,ABRUZZO,ABRUZZO,Scienze motorie e sportive,1448
16,2010/2011,ABRUZZO,BASILICATA,Agrario-Forestale e Veterinario,12
17,2010/2011,ABRUZZO,BASILICATA,Architettura e Ingegneria civile,55
18,2010/2011,ABRUZZO,BASILICATA,Arte e Design,8
19,2010/2011,ABRUZZO,BASILICATA,Economico,138
20,2010/2011,ABRUZZO,BASILICATA,Educazione e Formazione,31
21,2010/2011,ABRUZZO,BASILICATA,Giuridico,36
22,2010/2011,ABRUZZO,BASILICATA,Letterario-Umanistico,9
23,2010/2011,ABRUZZO,BASILICATA,Linguistico,64
24,2010/2011,ABRUZZO,BASILICATA,Medico-Sanitario e Farmaceutico,282
25,2010/2011,ABRUZZO,BASILICATA,Politico-Sociale e Comunicazione,25
26,2010/2011,ABRUZZO,BASILICATA,Psicologico,396
27,2010/2011,ABRUZZO,BASILICATA,Scientifico,19
28,2010/2011,ABRUZZO,BASILICATA,Scienze motorie e sportive,118
29,2010/2011,ABRUZZO,CALABRIA,Agrario-Forestale e Veterinario,10
30,2010/2011,ABRUZZO,CALABRIA,Architettura e Ingegneria civile,9
31,2010/2011,ABRUZZO,CALABRIA,Economico,28
32,2010/2011,ABRUZZO,CALABRIA,Educazione e Formazione,21
33,2010/2011,ABRUZZO,CALABRIA,Giuridico,47
34,2010/2011,ABRUZZO,CALABRIA,Letterario-Umanistico,6
35,2010/2011,ABRUZZO,CALABRIA,Linguistico,15
36,2010/2011,ABRUZZO,CALABRIA,Medico-Sanitario e Farmaceutico,132
37,2010/2011,ABRUZZO,CALABRIA,Politico-Sociale e Comunicazione,12
38,2010/2011,ABRUZZO,CALABRIA,Psicologico,309
39,2010/2011,ABRUZZO,CALABRIA,Scientifico,15
40,2010/2011,ABRUZZO,CALABRIA,Scienze motorie e sportive,131
41,2010/2011,ABRUZZO,CAMPANIA,Agrario-Forestale e Veterinario,25
42,2010/2011,ABRUZZO,CAMPANIA,Architettura e Ingegneria civile,78
43,2010/2011,ABRUZZO,CAMPANIA,Arte e Design,9
44,2010/2011,ABRUZZO,CAMPANIA,Economico,307
45,2010/2011,ABRUZZO,CAMPANIA,Educazione e Formazione,281
46,2010/2011,ABRUZZO,CAMPANIA,Giuridico,455
47,2010/2011,ABRUZZO,CAMPANIA,Informatica e Tecnologie ICT,5
48,2010/2011,ABRUZZO,CAMPANIA,Ingegneria industriale e dell'informazione,30
49,2010/2011,ABRUZZO,CAMPANIA,Letterario-Umanistico,38
50,2010/2011,ABRUZZO,CAMPANIA,Linguistico,97
51,2010/2011,ABRUZZO,CAMPANIA,Medico-Sanitario e Farmaceutico,675
52,2010/2011,ABRUZZO,CAMPANIA,Politico-Sociale e Comunicazione,64
53,2010/2011,ABRUZZO,CAMPANIA,Psicologico,1125
54,2010/2011,ABRUZZO,CAMPANIA,Scientifico,70
55,2010/2011,ABRUZZO,CAMPANIA,Scienze motorie e sportive,149
56,2010/2011,ABRUZZO,EMILIA ROMAGNA,Agrario-Forestale e Veterinario,6
57,2010/2011,ABRUZZO,EMILIA ROMAGNA,Architettura e Ingegneria civile,8
58,2010/2011,ABRUZZO,EMILIA ROMAGNA,Arte e Design,5
59,2010/2011,ABRUZZO,EMILIA ROMAGNA,Economico,21
60,2010/2011,ABRUZZO,EMILIA ROMAGNA,Educazione e Formazione,13
61,2010/2011,ABRUZZO,EMILIA ROMAGNA,Giuridico,45
62,2010/2011,ABRUZZO,EMILIA ROMAGNA,Informatica e Tecnologie ICT,6
63,2010/2011,ABRUZZO,EMILIA ROMAGNA,Linguistico,7
64,2010/2011,ABRUZZO,EMILIA ROMAGNA,Medico-Sanitario e Farmaceutico,58
65,2010/2011,ABRUZZO,EMILIA ROMAGNA,Politico-Sociale e Comunicazione,19
66,2010/2011,ABRUZZO,EMILIA ROMAGNA,Psicologico,89
67,2010/2011,ABRUZZO,EMILIA ROMAGNA,Scienze motorie e sportive,8
68,2010/2011,ABRUZZO,FRIULI VENEZIA GIULIA,Economico,9
69,2010/2011,ABRUZZO,FRIULI VENEZIA GIULIA,Giuridico,11
70,2010/2011,ABRUZZO,FRIULI VENEZIA GIULIA,Medico-Sanitario e Farmaceutico,33
71,2010/2011,ABRUZZO,FRIULI VENEZIA GIULIA,Psicologico,19
72,2010/2011,ABRUZZO,LAZIO,Agrario-Forestale e Veterinario,299
73,2010/2011,ABRUZZO,LAZIO,Architettura e Ingegneria civile,252
74,2010/2011,ABRUZZO,LAZIO,Arte e Design,73
75,2010/2011,ABRUZZO,LAZIO,Economico,307
76,2010/2011,ABRUZZO,LAZIO,Educazione e Formazione,343
77,2010/2011,ABRUZZO,LAZIO,Giuridico,409
78,2010/2011,ABRUZZO,LAZIO,Informatica e Tecnologie ICT,89
79,2010/2011,ABRUZZO,LAZIO,Ingegneria industriale e dell'informazione,291
80,2010/2011,ABRUZZO,LAZIO,Letterario-Umanistico,152
81,2010/2011,ABRUZZO,LAZIO,Linguistico,152
82,2010/2011,ABRUZZO,LAZIO,Medico-Sanitario e Farmaceutico,721
83,2010/2011,ABRUZZO,LAZIO,Politico-Sociale e Comunicazione,412
84,2010/2011,ABRUZZO,LAZIO,Psicologico,1592
85,2010/2011,ABRUZZO,LAZIO,Scientifico,561
86,2010/2011,ABRUZZO,LAZIO,Scienze motorie e sportive,262
87,2010/2011,ABRUZZO,LIGURIA,Economico,30
88,2010/2011,ABRUZZO,LIGURIA,Giuridico,11
89,2010/2011,ABRUZZO,LIGURIA,Medico-Sanitario e Farmaceutico,12
90,2010/2011,ABRUZZO,LIGURIA,Psicologico,33
91,2010/2011,ABRUZZO,LOMBARDIA,Agrario-Forestale e Veterinario,11
92,2010/2011,ABRUZZO,LOMBARDIA,Architettura e Ingegneria civile,6
93,2010/2011,ABRUZZO,LOMBARDIA,Economico,47
94,2010/2011,ABRUZZO,LOMBARDIA,Educazione e Formazione,15
95,2010/2011,ABRUZZO,LOMBARDIA,Giuridico,63
96,2010/2011,ABRUZZO,LOMBARDIA,Ingegneria industriale e dell'informazione,6
97,2010/2011,ABRUZZO,LOMBARDIA,Linguistico,6
98,2010/2011,ABRUZZO,LOMBARDIA,Medico-Sanitario e Farmaceutico,63
99,2010/2011,ABRUZZO,LOMBARDIA,Politico-Sociale e Comunicazione,28
100,2010/2011,ABRUZZO,LOMBARDIA,Psicologico,114
101,2010/2011,ABRUZZO,LOMBARDIA,Scientifico,10
102,2010/2011,ABRUZZO,LOMBARDIA,Scienze motorie e sportive,16
103,2010/2011,ABRUZZO,MARCHE,Agrario-Forestale e Veterinario,80
104,2010/2011,ABRUZZO,MARCHE,Architettura e Ingegneria civile,70
105,2010/2011,ABRUZZO,MARCHE,Arte e Design,17
106,2010/2011,ABRUZZO,MARCHE,Economico,78
107,2010/2011,ABRUZZO,MARCHE,Educazione e Formazione,32
108,2010/2011,ABRUZZO,MARCHE,Giuridico,139
109,2010/2011,ABRUZZO,MARCHE,Informatica e Tecnologie ICT,6
110,2010/2011,ABRUZZO,MARCHE,Ingegneria industriale e dell'informazione,42
111,2010/2011,ABRUZZO,MARCHE,Letterario-Umanistico,24
112,2010/2011,ABRUZZO,MARCHE,Linguistico,58
113,2010/2011,ABRUZZO,MARCHE,Medico-Sanitario e Farmaceutico,383
114,2010/2011,ABRUZZO,MARCHE,Politico-Sociale e Comunicazione,90
115,2010/2011,ABRUZZO,MARCHE,Psicologico,295
116,2010/2011,ABRUZZO,MARCHE,Scientifico,48
117,2010/2011,ABRUZZO,MARCHE,Scienze motorie e sportive,113
118,2010/2011,ABRUZZO,MOLISE,Agrario-Forestale e Veterinario,54
119,2010/2011,ABRUZZO,MOLISE,Architettura e Ingegneria civile,347
120,2010/2011,ABRUZZO,MOLISE,Arte e Design,49
121,2010/2011,ABRUZZO,MOLISE,Economico,406
122,2010/2011,ABRUZZO,MOLISE,Educazione e Formazione,69
123,2010/2011,ABRUZZO,MOLISE,Giuridico,50
124,2010/2011,ABRUZZO,MOLISE,Informatica e Tecnologie ICT,12
125,2010/2011,ABRUZZO,MOLISE,Ingegneria industriale e dell'informazione,96
126,2010/2011,ABRUZZO,MOLISE,Letterario-Umanistico,147
127,2010/2011,ABRUZZO,MOLISE,Linguistico,298
128,2010/2011,ABRUZZO,MOLISE,Medico-Sanitario e Farmaceutico,505
129,2010/2011,ABRUZZO,MOLISE,Politico-Sociale e Comunicazione,43
130,2010/2011,ABRUZZO,MOLISE,Psicologico,338
131,2010/2011,ABRUZZO,MOLISE,Scientifico,103
132,2010/2011,ABRUZZO,MOLISE,Scienze motorie e sportive,71
133,2010/2011,ABRUZZO,PIEMONTE,Agrario-Forestale e Veterinario,8
134,2010/2011,ABRUZZO,PIEMONTE,Economico,26
135,2010/2011,ABRUZZO,PIEMONTE,Educazione e Formazione,12
136,2010/2011,ABRUZZO,PIEMONTE,Giuridico,28
137,2010/2011,ABRUZZO,PIEMONTE,Medico-Sanitario e Farmaceutico,49
138,2010/2011,ABRUZZO,PIEMONTE,Politico-Sociale e Comunicazione,17
139,2010/2011,ABRUZZO,PIEMONTE,Psicologico,41
140,2010/2011,ABRUZZO,Provincia autonoma di Bolzano,Psicologico,8
141,2010/2011,ABRUZZO,Provincia autonoma di TRENTO,Economico,6
142,2010/2011,ABRUZZO,Provincia autonoma di TRENTO,Medico-Sanitario e Farmaceutico,17
143,2010/2011,ABRUZZO,Provincia autonoma di TRENTO,Psicologico,7
144,2010/2011,ABRUZZO,PUGLIA,Agrario-Forestale e Veterinario,81
145,2010/2011,ABRUZZO,PUGLIA,Architettura e Ingegneria civile,766
146,2010/2011,ABRUZZO,PUGLIA,Arte e Design,45
147,2010/2011,ABRUZZO,PUGLIA,Economico,771
148,2010/2011,ABRUZZO,PUGLIA,Educazione e Formazione,144
149,2010/2011,ABRUZZO,PUGLIA,Giuridico,301
150,2010/2011,ABRUZZO,PUGLIA,Informatica e Tecnologie ICT,17
151,2010/2011,ABRUZZO,PUGLIA,Ingegneria industriale e dell'informazione,62
152,2010/2011,ABRUZZO,PUGLIA,Letterario-Umanistico,108
153,2010/2011,ABRUZZO,PUGLIA,Linguistico,503
154,2010/2011,ABRUZZO,PUGLIA,Medico-Sanitario e Farmaceutico,1993
155,2010/2011,ABRUZZO,PUGLIA,Politico-Sociale e Comunicazione,186
156,2010/2011,ABRUZZO,PUGLIA,Psicologico,1770
157,2010/2011,ABRUZZO,PUGLIA,Scientifico,163
158,2010/2011,ABRUZZO,PUGLIA,Scienze motorie e sportive,608
159,2010/2011,ABRUZZO,REGIONE ESTERA,Agrario-Forestale e Veterinario,13
160,2010/2011,ABRUZZO,REGIONE ESTERA,Architettura e Ingegneria civile,75
161,2010/2011,ABRUZZO,REGIONE ESTERA,Economico,13
162,2010/2011,ABRUZZO,REGIONE ESTERA,Linguistico,30
163,2010/2011,ABRUZZO,REGIONE ESTERA,Medico-Sanitario e Farmaceutico,145
164,2010/2011,ABRUZZO,REGIONE ESTERA,Politico-Sociale e Comunicazione,11
165,2010/2011,ABRUZZO,REGIONE ESTERA,Psicologico,14
166,2010/2011,ABRUZZO,REGIONE ESTERA,Scientifico,8
167,2010/2011,ABRUZZO,REGIONE NON FORNITA,Politico-Sociale e Comunicazione,5
168,2010/2011,ABRUZZO,SARDEGNA,Economico,7
169,2010/2011,ABRUZZO,SARDEGNA,Giuridico,10
170,2010/2011,ABRUZZO,SARDEGNA,Medico-Sanitario e Farmaceutico,23
171,2010/2011,ABRUZZO,SARDEGNA,Psicologico,56
172,2010/2011,ABRUZZO,SARDEGNA,Scienze motorie e sportive,5
173,2010/2011,ABRUZZO,SICILIA,Agrario-Forestale e Veterinario,15
174,2010/2011,ABRUZZO,SICILIA,Architettura e Ingegneria civile,12
175,2010/2011,ABRUZZO,SICILIA,Economico,22
176,2010/2011,ABRUZZO,SICILIA,Educazione e Formazione,14
177,2010/2011,ABRUZZO,SICILIA,Giuridico,139
178,2010/2011,ABRUZZO,SICILIA,Ingegneria industriale e dell'informazione,5
179,2010/2011,ABRUZZO,SICILIA,Linguistico,15
180,2010/2011,ABRUZZO,SICILIA,Medico-Sanitario e Farmaceutico,157
181,2010/2011,ABRUZZO,SICILIA,Politico-Sociale e Comunicazione,12
182,2010/2011,ABRUZZO,SICILIA,Psicologico,126
183,2010/2011,ABRUZZO,SICILIA,Scientifico,22
184,2010/2011,ABRUZZO,SICILIA,Scienze motorie e sportive,38
185,2010/2011,ABRUZZO,TOSCANA,Agrario-Forestale e Veterinario,10
186,2010/2011,ABRUZZO,TOSCANA,Architettura e Ingegneria civile,5
187,2010/2011,ABRUZZO,TOSCANA,Economico,17
188,2010/2011,ABRUZZO,TOSCANA,Educazione e Formazione,12
189,2010/2011,ABRUZZO,TOSCANA,Giuridico,19
190,2010/2011,ABRUZZO,TOSCANA,Medico-Sanitario e Farmaceutico,23
191,2010/2011,ABRUZZO,TOSCANA,Politico-Sociale e Comunicazione,15
192,2010/2011,ABRUZZO,TOSCANA,Psicologico,100
193,2010/2011,ABRUZZO,TOSCANA,Scienze motorie e sportive,11
194,2010/2011,ABRUZZO,UMBRIA,Architettura e Ingegneria civile,14
195,2010/2011,ABRUZZO,UMBRIA,Economico,13
196,2010/2011,ABRUZZO,UMBRIA,Educazione e Formazione,5
197,2010/2011,ABRUZZO,UMBRIA,Giuridico,10
198,2010/2011,ABRUZZO,UMBRIA,Ingegneria industriale e dell'informazione,8
199,2010/2011,ABRUZZO,UMBRIA,Letterario-Umanistico,7
200,2010/2011,ABRUZZO,UMBRIA,Medico-Sanitario e Farmaceutico,32
201,2010/2011,ABRUZZO,UMBRIA,Politico-Sociale e Comunicazione,10
202,2010/2011,ABRUZZO,UMBRIA,Psicologico,66
203,2010/2011,ABRUZZO,UMBRIA,Scientifico,10
204,2010/2011,ABRUZZO,UMBRIA,Scienze motorie e sportive,6
205,2010/2011,ABRUZZO,VENETO,Architettura e Ingegneria civile,5
206,2010/2011,ABRUZZO,VENETO,Economico,38
207,2010/2011,ABRUZZO,VENETO,Educazione e Formazione,14
208,2010/2011,ABRUZZO,VENETO,Giuridico,40
209,2010/2011,ABRUZZO,VENETO,Letterario-Umanistico,6
210,2010/2011,ABRUZZO,VENETO,Medico-Sanitario e Farmaceutico,65
211,2010/2011,ABRUZZO,VENETO,Politico-Sociale e Comunicazione,17
212,2010/2011,ABRUZZO,VENETO,Psicologico,48
213,2010/2011,ABRUZZO,VENETO,Scienze motorie e sportive,9
214,2010/2011,BASILICATA,BASILICATA,Agrario-Forestale e Veterinario,795
215,2010/2011,BASILICATA,BASILICATA,Architettura e Ingegneria civile,1239
216,2010/2011,BASILICATA,BASILICATA,Arte e Design,346
217,2010/2011,BASILICATA,BASILICATA,Economico,981
218,2010/2011,BASILICATA,BASILICATA,Educazione e Formazione,267
219,2010/2011,BASILICATA,BASILICATA,Informatica e Tecnologie ICT,368
220,2010/2011,BASILICATA,BASILICATA,Ingegneria industriale e dell'informazione,429
221,2010/2011,BASILICATA,BASILICATA,Letterario-Umanistico,521
222,2010/2011,BASILICATA,BASILICATA,Linguistico,385
223,2010/2011,BASILICATA,BASILICATA,Medico-Sanitario e Farmaceutico,743
224,2010/2011,BASILICATA,BASILICATA,Politico-Sociale e Comunicazione,475
225,2010/2011,BASILICATA,BASILICATA,Scientifico,731
226,2010/2011,BASILICATA,BASILICATA,Scienze motorie e sportive,54
227,2010/2011,BASILICATA,CALABRIA,Agrario-Forestale e Veterinario,27
228,2010/2011,BASILICATA,CALABRIA,Architettura e Ingegneria civile,13
229,2010/2011,BASILICATA,CALABRIA,Economico,5
230,2010/2011,BASILICATA,CALABRIA,Medico-Sanitario e Farmaceutico,32
231,2010/2011,BASILICATA,CALABRIA,Scientifico,5
232,2010/2011,BASILICATA,CAMPANIA,Agrario-Forestale e Veterinario,264
233,2010/2011,BASILICATA,CAMPANIA,Architettura e Ingegneria civile,103
234,2010/2011,BASILICATA,CAMPANIA,Arte e Design,8
235,2010/2011,BASILICATA,CAMPANIA,Economico,73
236,2010/2011,BASILICATA,CAMPANIA,Educazione e Formazione,6
237,2010/2011,BASILICATA,CAMPANIA,Informatica e Tecnologie ICT,22
238,2010/2011,BASILICATA,CAMPANIA,Ingegneria industriale e dell'informazione,22
239,2010/2011,BASILICATA,CAMPANIA,Letterario-Umanistico,42
240,2010/2011,BASILICATA,CAMPANIA,Linguistico,31
