_id,AnnoA,GruppoCOD,GruppoNOME,SESSO,Isc
1,2020/2021,1,Educazione e Formazione                                                                                                                                                                                                                                   ,M,9249
2,2020/2021,1,Educazione e Formazione                                                                                                                                                                                                                                   ,F,106583
3,2020/2021,2,Arte e Design                                                                                                                                                                                                                                             ,M,18712
4,2020/2021,2,Arte e Design                                                                                                                                                                                                                                             ,F,41865
5,2020/2021,3,Letterario-Umanistico                                                                                                                                                                                                                                     ,M,33835
6,2020/2021,3,Letterario-Umanistico                                                                                                                                                                                                                                     ,F,55068
7,2020/2021,4,Linguistico                                                                                                                                                                                                                                               ,M,19564
8,2020/2021,4,Linguistico                                                                                                                                                                                                                                               ,F,89995
9,2020/2021,5,Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ,M,60140
10,2020/2021,5,Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ,F,88753
11,2020/2021,6,Psicologico                                                                                                                                                                                                                                               ,M,16726
12,2020/2021,6,Psicologico                                                                                                                                                                                                                                               ,F,59179
13,2020/2021,7,Economico                                                                                                                                                                                                                                                 ,F,120050
14,2020/2021,7,Economico                                                                                                                                                                                                                                                 ,M,142249
15,2020/2021,8,Giuridico                                                                                                                                                                                                                                                 ,F,88970
16,2020/2021,8,Giuridico                                                                                                                                                                                                                                                 ,M,57069
17,2020/2021,9,Scientifico                                                                                                                                                                                                                                               ,F,90435
18,2020/2021,9,Scientifico                                                                                                                                                                                                                                               ,M,67016
19,2020/2021,10,Informatica e Tecnologie ICT                                                                                                                                                                                                                              ,M,32268
20,2020/2021,10,Informatica e Tecnologie ICT                                                                                                                                                                                                                              ,F,5270
21,2020/2021,11,Architettura e Ingegneria civile                                                                                                                                                                                                                          ,F,33877
22,2020/2021,11,Architettura e Ingegneria civile                                                                                                                                                                                                                          ,M,42578
23,2020/2021,12,Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ,M,169745
24,2020/2021,12,Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ,F,50895
25,2020/2021,13,Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ,M,23079
